John	('mellencamp', 0.693996787071228)	('feingold', 0.6759278774261475)	('milton', 0.6577374935150146)	('piper', 0.6559374332427979)	('glenn', 0.6550517082214355)	('warren', 0.651236891746521)	('paul', 0.6419488787651062)	('edwards', 0.6402110457420349)	('ted', 0.6307432651519775)	('wesley', 0.6288958787918091)
wrong	('disgusted', 0.5364294648170471)	('confused', 0.5307308435440063)	('correct', 0.5303579568862915)	('exactly', 0.5154508948326111)	('saying', 0.5065730214118958)	('worng', 0.5044229030609131)	('else', 0.4994580149650574)	('mean', 0.4985610842704773)	('right', 0.4913804233074188)	('fault', 0.4869445562362671)
American	('australian', 0.7894234657287598)	('canadian', 0.7257567644119263)	('british', 0.7165343761444092)	('america', 0.6706750988960266)	('european', 0.6611987352371216)	('immigrant', 0.6555027365684509)	('colonialism', 0.6520930528640747)	('imperialist', 0.6512269377708435)	('indian', 0.6491541862487793)	('african', 0.6481283903121948)
lol	('haha', 0.8842917680740356)	('hahaha', 0.8776795864105225)	('yea', 0.8730431199073792)	('hehe', 0.8711715340614319)	('hahahaha', 0.8449219465255737)	('lmao', 0.8441823124885559)	('anyways', 0.8361391425132751)	('hahahah', 0.8352305889129639)	('hahah', 0.8325930833816528)	('hahahahah', 0.8236292004585266)
government	('govt', 0.8410332202911377)	('governments', 0.8290327787399292)	('goverment', 0.8036714792251587)	('policy', 0.7844098806381226)	('governmental', 0.7829525470733643)	('prc', 0.7770704030990601)	('mandate', 0.7761669754981995)	('federal', 0.7680325508117676)	('congress', 0.7608056664466858)	('edicts', 0.7560844421386719)
blog	('weblog', 0.8495886325836182)	('blogger', 0.7845075726509094)	('site', 0.7791824340820312)	('post', 0.7680588960647583)	('journal', 0.7666236162185669)	('entry', 0.7633059024810791)	('webpage', 0.7477696537971497)	('blogg', 0.7450277805328369)	('xanga', 0.7320125102996826)	('posts', 0.7307462692260742)
Iraq	('afghanistan', 0.8948651552200317)	('kosovo', 0.827070951461792)	('iran', 0.8048641681671143)	('sudan', 0.7945258617401123)	('terrorism', 0.772498369216919)	('israel', 0.7706693410873413)	('kuwait', 0.7562168836593628)	('libya', 0.745367169380188)	('chechnya', 0.7447572350502014)	('syria', 0.7397329807281494)
sucks	('sux', 0.7974599003791809)	('stinks', 0.7031487822532654)	('hate', 0.6749385595321655)	('sucked', 0.6619142293930054)	('sucky', 0.6175165772438049)	('hurts', 0.6139578223228455)	('shitty', 0.6089378595352173)	('isnt', 0.6049562096595764)	('suck', 0.5874330401420593)	('ugh', 0.579067587852478)
game	('tournament', 0.7989239692687988)	('tourney', 0.7750328779220581)	('games', 0.7638309001922607)	('pictionary', 0.7307320237159729)	('footy', 0.7185267806053162)	('ncaa', 0.7134753465652466)	('racquetball', 0.7106871604919434)	('frisbee', 0.7103510499000549)	('playoff', 0.7055020332336426)	('fps', 0.7037143707275391)
water	('liquid', 0.7552833557128906)	('chlorine', 0.7525418400764465)	('liquids', 0.7441083192825317)	('soapy', 0.7414156198501587)	('buckets', 0.7398750185966492)	('scalding', 0.7156994342803955)	('faucet', 0.7116420269012451)	('spigot', 0.7097390294075012)	('arsenic', 0.7069255113601685)	('droplets', 0.7059944868087769)
movie	('film', 0.8219155073165894)	('ladykillers', 0.7648242712020874)	('flick', 0.7634091973304749)	('shrek', 0.7619207501411438)	('movies', 0.7612685561180115)	('spiderman', 0.750773012638092)	('eurotrip', 0.7403332591056824)	('hellboy', 0.7339208126068115)	('braveheart', 0.7316306829452515)	('punisher', 0.7264318466186523)
project	('assignment', 0.7790944576263428)	('presentation', 0.7297224998474121)	('projects', 0.7115638852119446)	('thesis', 0.6995526552200317)	('program', 0.6914942264556885)	('module', 0.6859170198440552)	('research', 0.6822546124458313)	('portfolio', 0.6820507049560547)	('workshop', 0.6762128472328186)	('programme', 0.6615390777587891)
God	('lord', 0.7965435981750488)	('jesus', 0.7086998224258423)	('christ', 0.6867002248764038)	('goodness', 0.6825078725814819)	('gods', 0.6760758757591248)	('allah', 0.6591627597808838)	('righteousness', 0.6500605344772339)	('forgiveness', 0.6287158727645874)	('savior', 0.6253514289855957)	('obedience', 0.6205573081970215)
bar	('pub', 0.836327314376831)	('diner', 0.7467359900474548)	('tavern', 0.7424043416976929)	('bars', 0.7380585670471191)	('restaurant', 0.7221140265464783)	('lounge', 0.7162191867828369)	('nightclub', 0.7103502750396729)	('brewery', 0.7012942433357239)	('bellagio', 0.6921050548553467)	('cafe', 0.69045090675354)
